id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
393,msg35425869,https://bitcointalk.org/index.php?topic=3248955.0,msg35354803,3369,Announcements (Altcoins),2018-04-23 22:04:38,recsoninlight,Jr. Member,162,1,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"   But the fact that it will help more people to let their money be secured and they're the only who can access it by using any forms of devices or maybe a card with proper encryption to avoid it being stolen. It might have a ""disadvantage"" but also it have an ""advantage"" as it is part of every change.",False
394,msg35427793,https://bitcointalk.org/index.php?topic=3248955.0,msg35425474,3369,Announcements (Altcoins),2018-04-23 22:57:07,tophe15,Newbie,280,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"  I've searched it too, also, I couldn't find anything that will show how Mr Georgiades works in the past for Morgan Stanley. Digging into LinkedIn can't see any past experience for Morgan Stanley? Here's the profile link -> https://www.linkedin.com/in/photisgeorgiades/.",False
395,msg35452485,https://bitcointalk.org/index.php?topic=3248955.0,msg35427793,3369,Announcements (Altcoins),2018-04-24 08:42:13,yuisefb8,Newbie,196,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,   Could you just provide a link or preference thst we can see about Morgan Stanley? We can appreciate the effort of the team by giving us updates.,False
396,msg35452758,https://bitcointalk.org/index.php?topic=3248955.0,msg35425869,3369,Announcements (Altcoins),2018-04-24 08:45:55,frenkelebre,Jr. Member,392,2,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,   You have a point mate. Well this could make the people really secured their money which is also easy to use with just a swipe or what. This could make a big change in the currency industries.,False
397,msg35480701,https://bitcointalk.org/index.php?topic=3248955.0,msg35452758,3369,Announcements (Altcoins),2018-04-24 15:07:46,Relentless1020,Newbie,126,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,   But there are many platforms on the marketplace that has the same functionality just like what have you said. So how this platform could make a big change on the financial industry?,False
398,msg35509721,https://bitcointalk.org/index.php?topic=3248955.0,msg35477047,3369,Announcements (Altcoins),2018-04-24 21:34:48,recsoninlight,Jr. Member,162,1,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"  Maybe yuisefb8 is trying to ask about the information of the the Mr. Georgiades related to his past work to Morgan Stanley, it may be irrelevant but knowing the right history of one's work can help a lot in knowing more the background of the team.",False
399,msg35509928,https://bitcointalk.org/index.php?topic=3248955.0,msg35452758,3369,Announcements (Altcoins),2018-04-24 21:39:57,shikon_shard,Jr. Member,128,1,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,  It might not be a new technology in the history of people using card as a way of paying something but with the application of it in crypto can make a lot of things more secure and easier.,False
400,msg35510298,https://bitcointalk.org/index.php?topic=3248955.0,msg34241744,3369,Announcements (Altcoins),2018-04-24 21:49:09,buldogers,Jr. Member,228,2,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"  I agree with you Mr., if this will be a successful project, it might really help improve the popularity of using crypto and how it can change the way we buy things easily from crypto to fiat.",False
401,msg35513060,https://bitcointalk.org/index.php?topic=3248955.0,,3369,Announcements (Altcoins),2018-04-24 22:59:51,kurniawan05,Member,686,11,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"Hello Dev, Do you have any registered company behind this project? have you already partnership with any retailer to join this project?",False
402,msg35830203,https://bitcointalk.org/index.php?topic=3248955.0,msg35199908,3369,Announcements (Altcoins),2018-04-28 22:27:37,Dump3er,Hero Member,868,502,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,   Nothing to do with what I am talking about. Maybe you should get a little bit of context before you start posting here. I was talking about bounty campaigns and those trying to scam in those campaigns.,False
