,api,chart,cryptocompare,discontinued,id,name,name_alt,symbol,symbol_alt
383,cryptocompare,False,CHILD,False,CHILD,childcoin,,child,
384,cryptocompare,False,MINE,False,MINE,instamine nuggets,,mine,
385,cryptocompare,False,ROS,False,ROS,ros coin,,ros,
386,cryptocompare,False,UNAT,False,UNAT,unattanium,,unat,
387,cryptocompare,False,GAIA,False,GAIA,gaia platform,,gaia,
388,cryptocompare,False,XCN,False,XCN,cryptonite,,xcn,
389,cryptocompare,False,GMC,False,GMC,gridmaster,,gmc,
390,cryptocompare,False,MMC,False,MMC,memorycoin,,mmc,
391,cryptocompare,False,CYC,False,CYC,conspiracy coin ,,cyc,
392,cryptocompare,False,OCTO,False,OCTO,octocoin,,octo,
393,cryptocompare,False,MSC,False,MSC,mastercoin,,msc,
394,cryptocompare,False,EGG,False,EGG,eggcoin,,egg,
395,cryptocompare,False,CAMC,False,CAMC,camcoin,,camc,
396,cryptocompare,False,RBR,False,RBR,ribbit rewards,,rbr,
397,cryptocompare,False,ICASH,False,ICASH,icash,,icash,
398,cryptocompare,False,NODE,False,NODE,node,,node,
399,cryptocompare,False,SOON,False,SOON,sooncoin,,soon,
400,cryptocompare,False,BTMI,False,BTMI,bitmiles,,btmi,
